date,hour,kwh
2022-06-10,13,123.8043
2022-06-10,14,128.7161
2022-06-10,15,132.2319
2022-06-10,16,137.7341
2022-06-10,17,144.4878
2022-06-10,18,131.7486
2022-06-10,19,121.7203
2022-06-10,20,114.9498
2022-06-10,21,95.6214
2022-06-10,22,85.9846
2022-06-10,23,62.8262
2022-06-11,0,48.6621
2022-06-11,1,50.0104
2022-06-11,2,47.5507
2022-06-11,3,46.452
2022-06-11,4,69.6934
2022-06-11,5,71.4851
2022-06-11,6,70.4893
2022-06-11,7,74.4589
2022-06-11,8,84.7122
2022-06-11,9,93.5792
2022-06-11,10,101.4943
2022-06-11,11,107.8406
2022-06-11,12,118.3941
2022-06-11,13,121.8974
2022-06-11,14,123.584
2022-06-11,15,125.379
2022-06-11,16,127.943
2022-06-11,17,123.4754
2022-06-11,18,118.5855
2022-06-11,19,112.8555
2022-06-11,20,90.2083
2022-06-11,21,87.3457
2022-06-11,22,84.5577
2022-06-11,23,60.314
2022-06-12,0,48.932
2022-06-12,1,45.8312
2022-06-12,2,45.7824
2022-06-12,3,43.5128
2022-06-12,4,66.1455
2022-06-12,5,69.2811
2022-06-12,6,69.4901
2022-06-12,7,65.8166
2022-06-12,8,66.7146
2022-06-12,9,73.7749
2022-06-12,10,86.2403
2022-06-12,11,84.8424
2022-06-12,12,86.2124
2022-06-12,13,92.2431
2022-06-12,14,99.3839
2022-06-12,15,98.9495
2022-06-12,16,98.3683
2022-06-12,17,93.9527
2022-06-12,18,91.8551
2022-06-12,19,82.0406
2022-06-12,20,72.6791
2022-06-12,21,70.0934
2022-06-12,22,68.4445
2022-06-12,23,52.289
2022-06-13,0,37.4298
2022-06-13,1,37.9435
2022-06-13,2,36.4905
2022-06-13,3,36.6636
2022-06-13,4,52.0233
2022-06-13,5,62.3858
2022-06-13,6,58.8455
2022-06-13,7,61.3535
2022-06-13,8,65.3507
2022-06-13,9,72.2771
2022-06-13,10,79.2129
2022-06-13,11,81.2977
2022-06-13,12,84.8204
2022-06-13,13,87.1109
2022-06-13,14,90.2548
2022-06-13,15,95.7408
2022-06-13,16,100.8343
2022-06-13,17,101.2112
2022-06-13,18,98.4693
2022-06-13,19,81.4156
2022-06-13,20,83.0658
2022-06-13,21,80.753
2022-06-13,22,66.8029
2022-06-13,23,49.9918
2022-06-14,0,37.3532
2022-06-14,1,37.8904
2022-06-14,2,37.722
2022-06-14,3,37.8034
2022-06-14,4,50.8922
2022-06-14,5,62.6691
2022-06-14,6,59.8307
2022-06-14,7,61.3914
2022-06-14,8,69.2072
2022-06-14,9,71.2996
2022-06-14,10,74.3463
2022-06-14,11,79.1276
2022-06-14,12,84.3016
2022-06-14,13,89.45
2022-06-14,14,94.0392
2022-06-14,15,103.537
2022-06-14,16,108.0226
2022-06-14,17,106.6006
2022-06-14,18,104.5456
2022-06-14,19,101.0884
2022-06-14,20,88.4907
2022-06-14,21,85.5852
2022-06-14,22,68.3004
2022-06-14,23,53.058
2022-06-15,0,37.0896
2022-06-15,1,37.0633
2022-06-15,2,37.6626
2022-06-15,3,37.4225
2022-06-15,4,52.9452
2022-06-15,5,65.2063
2022-06-15,6,62.1718
2022-06-15,7,64.0091
2022-06-15,8,74.9507
2022-06-15,9,80.3938
2022-06-15,10,91.3028
2022-06-15,11,96.3859
2022-06-15,12,103.1468
2022-06-15,13,110.8888
2022-06-15,14,114.1793
2022-06-15,15,118.073
2022-06-15,16,122.055
2022-06-15,17,117.3727
2022-06-15,18,117.3867
2022-06-15,19,103.9551
2022-06-15,20,90.9655
2022-06-15,21,87.3102
2022-06-15,22,69.4871
2022-06-15,23,53.8074
2022-06-16,0,39.9104
2022-06-16,1,39.0897
2022-06-16,2,36.068
2022-06-16,3,35.8067
2022-06-16,4,53.7839
2022-06-16,5,64.0176
2022-06-16,6,54.2325
2022-06-16,7,51.6035
2022-06-16,8,60.1406
2022-06-16,9,76.4989
2022-06-16,10,95.2846
2022-06-16,11,96.091
2022-06-16,12,87.9596
2022-06-16,13,92.6249
2022-06-16,14,97.3664
2022-06-16,15,100.3496
2022-06-16,16,100.1035
2022-06-16,17,101.0099
2022-06-16,18,93.6479
2022-06-16,19,80.6988
2022-06-16,20,83.4745
2022-06-16,21,77.6136
2022-06-16,22,64.1906
2022-06-16,23,50.2067
2022-06-17,0,37.3344
2022-06-17,1,37.9433
2022-06-17,2,35.682
2022-06-17,3,36.301
2022-06-17,4,50.7001
2022-06-17,5,62.4922
2022-06-17,6,59.0559
2022-06-17,7,63.0137
2022-06-17,8,61.9938
2022-06-17,9,71.3147
2022-06-17,10,71.348
2022-06-17,11,74.4508
2022-06-17,12,75.9648
2022-06-17,13,84.0279
2022-06-17,14,84.5503
2022-06-17,15,79.1971
2022-06-17,16,79.2484
2022-06-17,17,82.6362
2022-06-17,18,75.7669
2022-06-17,19,75.4548
2022-06-17,20,74.3039
2022-06-17,21,62.2878
2022-06-17,22,63.5973
2022-06-17,23,47.5498
